,x,y,z
0.0,0.008011,-0.289429,-0.945511
0.01,0.001099,-0.288452,-0.941071
0.02,-0.005417,-0.294266,-0.94873
0.03,-0.001877,-0.291779,-0.958832
0.04,0.003906,-0.287079,-0.952347
0.05,0.002686,-0.284042,-0.943222
0.06,-0.002502,-0.290359,-0.947372
0.07,-0.004639,-0.291824,-0.956467
0.08,0.003754,-0.295609,-0.953964
0.09,0.004272,-0.286133,-0.940353
0.1,-0.001205,-0.285889,-0.945618
0.11,-0.001434,-0.295883,-0.954376
0.12,0.002396,-0.296448,-0.958191
0.13,0.006027,-0.285553,-0.945831
0.14,-0.002731,-0.284012,-0.942535
0.15,-0.005951,-0.292068,-0.950836
0.16,7.6e-05,-0.295532,-0.959061
0.17,0.006241,-0.290802,-0.949722
0.18,0.0033848,-0.2871478,-0.9422042
0.19,-0.0027342,-0.29104,-0.9460842
0.2,-0.0036516,-0.2955448,-0.9583478
0.21,0.0031465,-0.292409,-0.9566037
0.22,0.0025389,-0.2844313,-0.9441571
0.23,-0.0011475,-0.287218,-0.9448413
0.24,-0.0043148,-0.2945332,-0.9578122
0.25,0.0035153,-0.2951067,-0.9547989
0.26,0.0053102,-0.2873332,-0.9454105
0.27,0.0007139,-0.2885479,-0.9416932
0.28,-0.0034001,-0.296204,-0.9537613
0.29,-0.0011951,-0.2959824,-0.9559964
0.3,0.0046528,-0.2885069,-0.951764
0.31,0.0026989,-0.2842014,-0.9410051
0.32,-0.0024784,-0.2897646,-0.9459836
0.33,-0.0023609,-0.2945988,-0.9584776
0.34,0.0056487,-0.2917835,-0.9526424
0.35,0.0071104,-0.2868169,-0.9449677
0.36,-0.0025469,-0.29045,-0.9466557
0.37,-0.0046846,-0.294823,-0.9540499
0.38,0.0023846,-0.2929809,-0.9544644
0.39,0.0062451,-0.2882126,-0.948482
0.4,0.0016097,-0.2893706,-0.9459751
0.41,-0.0044101,-0.2942883,-0.9502659
0.42,-0.0017061,-0.2924759,-0.9543548
0.43,0.0037579,-0.2909686,-0.9476244
0.44,0.000424,-0.2855364,-0.9413268
0.45,-0.00262633333333,-0.289299777778,-0.948002888889
0.46,0.0002198,-0.2940426,-0.9557768
0.47,0.006372,-0.2915864,-0.9544308
0.48,0.0009586,-0.2850892,-0.943692
0.49,-0.0067748,-0.2865846,-0.943222
0.5,-0.0055514,-0.2932186,-0.9547974
0.51,0.0055848,-0.2947324,-0.956708
0.52,0.007413,-0.2877012,-0.9446534
0.53,-0.0002348,-0.2882756,-0.9445008
0.54,-0.0034852,-0.2949284,-0.9525758
0.55,0.000751,-0.2925296,-0.9548034
0.56,0.0030058,-0.2874572,-0.9514952
0.57,0.0022856,-0.2847378,-0.9410158
0.58,-0.0025452,-0.2869412,-0.9484588
0.59,-0.002045,-0.2920654,-0.9576658
0.6,0.0038668,-0.2943022,-0.9553958
0.61,0.0029968,-0.289453,-0.944861
0.62,-0.0017118,-0.2897856,-0.9434842
0.63,-0.0027952,-0.2942996,-0.9523956
0.64,0.0011692,-0.29465,-0.9561616
0.65,0.006589,-0.2884616,-0.948636
0.66,-0.0027614,-0.2845976,-0.9442782
0.67,-0.0046568,-0.2893126,-0.9500488
0.68,-0.001175,-0.2932956,-0.9591708
0.69,0.004248,-0.2912442,-0.9541782
0.7,0.0036254,-0.2854676,-0.9415926
0.71,-0.0027104,-0.2881808,-0.9433504
0.72,-0.001794,-0.294462444444,-0.956754666667
0.73,0.0034514,-0.2943176,-0.9551922
0.74,0.0031052,-0.2879666,-0.9479735
0.75,-0.0034836,-0.288522,-0.947389
0.76,-0.0044446,-0.2934708,-0.9528516
0.77,0.0014328,-0.2925598,-0.9543501
0.78,0.0036376,-0.288496,-0.9465869
0.79,-0.0002118,-0.2857282,-0.9414995
0.8,-0.0014813,-0.2913768,-0.9481082
0.81,-0.0009,-0.2960004,-0.956212
0.82,0.0035084,-0.2930025,-0.9543259
0.83,-0.0002637,-0.2855804,-0.9427003
0.84,-0.0026563,-0.2875409,-0.9460829
0.85,-0.0025158,-0.2938859,-0.9548797
0.86,0.0042682,-0.2930572,-0.9540447
0.87,0.005391,-0.2867505,-0.9454542
0.88,0.0003495,-0.287837,-0.9452652
0.89,-0.0033368,-0.294496,-0.9514678
0.9,-6.55e-05,-0.2939515,-0.9547627
0.91,0.0027117,-0.2901155,-0.950719
0.92,0.0008667,-0.2874129,-0.9447846
0.93,-0.0033031,-0.2891371,-0.9490769
0.94,-0.0019406,-0.2932801,-0.9583437
0.95,0.0034164,-0.2913895,-0.9533402
0.96,0.0018843,-0.2877897,-0.9446194
0.97,-0.0027328,-0.2915999,-0.9470198
0.98,-0.002556,-0.2976075,-0.9544541
0.99,0.0032166,-0.2947894,-0.9559051
1.0,0.0041887,-0.287485,-0.9471255
1.01,-0.00316866666667,-0.286173333333,-0.94192
1.02,-0.0048432,-0.2897276,-0.9515168
1.03,0.0009948,-0.2908506,-0.9577762
1.04,0.0047,-0.289755,-0.9515718
1.05,0.001041,-0.288397,-0.9440154
1.06,-0.0030822,-0.2930086,-0.947949
1.07,-0.0020722,-0.2967408,-0.9559232
1.08,0.0016724,-0.2916288,-0.9533202
1.09,0.0018002,-0.283905,-0.9449766
1.1,-0.0008394,-0.2861052,-0.9476622
1.11,-0.0004762,-0.2931274,-0.9553098
1.12,0.0042418,-0.2941558,-0.9536498
1.13,0.0030854,-0.2888824,-0.944162
1.14,-0.0005736,-0.2876346,-0.9426452
1.15,-0.0016206,-0.2931886,-0.9506318
1.16,0.002188,-0.2954984,-0.9557556
1.17,0.0053222,-0.289764,-0.9508114
1.18,-0.001001,-0.2862454,-0.9431212
1.19,-0.0066678,-0.2894836,-0.9490662
1.2,-0.0029632,-0.2942538,-0.9565826
1.21,0.0036528,-0.2917484,-0.9516326
1.22,0.004855,-0.2868502,-0.9442412
1.23,-0.000153,-0.2897124,-0.9480956
1.24,-0.0017582,-0.2942228,-0.954965
1.25,0.001538,-0.2931304,-0.9553494
1.26,0.0037264,-0.2871246,-0.9459776
1.27,-9.44e-05,-0.2873262,-0.942035
1.28,-0.00308411111111,-0.290439111111,-0.950251111111
1.29,0.0005565,-0.29245,-0.956741
1.3,0.0039975,-0.289505,-0.949356
1.31,0.0008545,-0.285965,-0.943886
1.32,-0.0035935,-0.291649,-0.9496765
1.33,0.000221,-0.2965395,-0.956848
1.34,0.005165,-0.2920075,-0.951454
1.35,0.0015335,-0.286621,-0.942917
1.36,-0.004921,-0.288803,-0.9459765
1.37,-0.003708,-0.2927245,-0.953102
1.38,0.0029905,-0.292305,-0.953529
1.39,0.0050275,-0.2884295,-0.9469905
1.4,0.000778,-0.2886815,-0.9439845
1.41,-0.002548,-0.292809,-0.95005
1.42,0.0001375,-0.29422,-0.95594
1.43,0.0040665,-0.289703,-0.9508055
1.44,0.00045,-0.28611,-0.944542
1.45,-0.0029605,-0.2898945,-0.9496385
1.46,0.0003435,-0.2950515,-0.957466
1.47,0.0033115,-0.2918165,-0.952545
1.48,0.001236,-0.286873,-0.944824
1.49,-0.002968,-0.2905885,-0.946182
1.5,-0.002426,-0.294739,-0.9517515
1.51,0.00338,-0.29274,-0.953697
1.52,0.004837,-0.287613,-0.9483795
1.53,-0.0028,-0.2846145,-0.945511
1.54,-0.006737,-0.288986,-0.951691
1.55,-0.0012745,-0.293518,-0.9567645
1.56,0.0042645,-0.2894515,-0.9503175
1.57,0.002872,-0.286611,-0.943936111111
1.58,-0.003137,-0.2918856,-0.9497166
1.59,-0.0019256,-0.2948974,-0.9549684
1.6,0.0030792,-0.2900908,-0.9512662
1.61,0.0025236,-0.2863768,-0.9453278
1.62,-0.0017152,-0.289862,-0.946561
1.63,-0.0016446,-0.2923402,-0.9552214
1.64,0.0037296,-0.2905642,-0.9550838
1.65,0.0047942,-0.286261,-0.9461182
1.66,0.0001802,-0.2868406,-0.944464
1.67,-0.0034236,-0.2931212,-0.9532746
1.68,0.0010746,-0.2966796,-0.9570434
1.69,0.004108,-0.2911348,-0.9476686
1.7,-0.0018218,-0.285602,-0.9434784
1.71,-0.005713,-0.2910734,-0.9522704
1.72,-0.0014346,-0.2951412,-0.9591128
1.73,0.0041596,-0.2901916,-0.9536258
1.74,0.0031802,-0.2867708,-0.9442384
1.75,-0.0018982,-0.2914216,-0.9451294
1.76,-0.0045168,-0.2949524,-0.95376
1.77,0.0009182,-0.2927672,-0.9553986
1.78,0.0023468,-0.2884488,-0.9464048
1.79,-0.001349,-0.2876248,-0.9448854
1.8,-0.0044954,-0.2899136,-0.9519012
1.81,-0.0002136,-0.2912016,-0.9555084
1.82,0.0042328,-0.2888094,-0.9490238
1.83,0.0002076,-0.2886628,-0.9437198
1.84,-0.002838,-0.294154,-0.950002333333
1.85,0.0013487,-0.2971024,-0.9544892
1.86,0.0063154,-0.2886933,-0.9484082
1.87,0.0015976,-0.2839325,-0.9465953
1.88,-0.0048738,-0.2906064,-0.9513155
1.89,-0.0027923,-0.2939973,-0.9584319
