,lat,lon,alt,crs,hac,vac,spd,dst,t
0.0,42.406357,-71.074742,4.618099,240.117188,10.0,4.0,0.0,0.0,1510239094000
1.0,42.406357,-71.074742,4.444546,240.117188,10.0,4.0,0.0,0.0,1510239095000
2.0,42.406357,-71.074742,4.424648,240.117188,10.0,4.0,0.0,0.0,1510239096000
3.0,42.406357,-71.074742,4.126949,240.117188,10.0,4.0,0.0,0.0,1510239097000
4.0,42.406357,-71.074742,3.870846,240.117188,10.0,4.0,0.0,0.0,1510239098000
5.0,42.406357,-71.074742,3.538357,240.117188,10.0,4.0,0.0,0.0,1510239099000
6.0,42.406357,-71.074742,3.694546,240.117188,10.0,4.0,0.0,0.0,1510239100000
7.0,42.406357,-71.074742,3.212246,240.117188,10.0,4.0,0.0,0.0,1510239101000
8.0,42.406357,-71.074742,3.433132,240.117188,10.0,4.0,0.0,0.0,1510239102000
9.0,42.406357,-71.074742,3.595913,240.117188,10.0,4.0,0.0,0.0,1510239103000
10.0,42.406357,-71.074742,3.62289,240.117188,10.0,4.0,0.0,0.0,1510239104000
11.0,42.406357,-71.074742,3.527035,240.117188,10.0,3.0,0.0,0.0,1510239105000
12.0,42.406357,-71.074742,3.147701,240.117188,10.0,4.0,0.0,0.0,1510239106000
13.0,42.406357,-71.074742,2.961544,240.117188,10.0,4.0,0.0,0.0,1510239107000
14.0,42.406357,-71.074742,2.473049,46.757812,5.0,4.0,0.0,0.0,1510239108000
15.0,42.406413,-71.074743,2.782009,27.773438,5.0,3.0,0.29,0.0,1510239109000
16.0,42.406446,-71.074739,3.385342,10.898438,5.0,3.0,1.27,0.0,1510239110000
17.0,42.406487,-71.074741,3.570919,345.9375,5.0,3.0,2.93,0.0,1510239111000
18.0,42.406536,-71.074762,3.081631,339.960938,5.0,3.0,4.17,0.0,1510239112000
19.0,42.406584,-71.074807,2.571163,313.945312,5.0,3.0,4.17,0.0,1510239113000
20.0,42.406615,-71.074878,2.622433,267.1875,5.0,3.0,5.02,0.0,1510239114000
21.0,42.406626,-71.074968,2.488369,257.695312,5.0,3.0,6.94,0.0,1510239115000
22.0,42.40662,-71.075065,2.096096,258.046875,5.0,3.0,7.44,0.0,1510239116000
23.0,42.406613,-71.075205,1.84634,261.914062,5.0,3.0,8.01,0.0,1510239117000
24.0,42.406608,-71.075308,1.906612,265.429688,5.0,3.0,8.45,0.0,1510239118000
25.0,42.406611,-71.075422,3.196987,269.648438,5.0,3.0,8.69,0.0,1510239119000
26.0,42.406606,-71.075529,3.215572,270.703125,5.0,3.0,8.8,0.0,1510239120000
27.0,42.406607,-71.075635,3.339809,267.539062,5.0,3.0,8.86,0.0,1510239121000
28.0,42.406603,-71.075742,2.761105,266.835938,5.0,3.0,9.26,0.0,1510239122000
29.0,42.406599,-71.075855,2.369045,266.835938,5.0,3.0,9.25,0.0,1510239123000
30.0,42.406597,-71.075961,2.660854,268.242188,5.0,3.0,8.96,0.0,1510239124000
31.0,42.406599,-71.076056,2.40353,270.0,5.0,3.0,8.23,0.0,1510239125000
32.0,42.406603,-71.076136,3.029934,270.351562,5.0,3.0,7.31,0.0,1510239126000
33.0,42.406595,-71.076221,3.022823,265.78125,5.0,3.0,5.54,0.0,1510239127000
34.0,42.4066,-71.076316,2.859219,272.460938,5.0,3.0,5.67,0.0,1510239128000
35.0,42.406602,-71.076385,3.577816,272.460938,5.0,3.0,5.67,0.0,1510239129000
36.0,42.406606,-71.076417,3.72131,278.085938,5.0,3.0,4.33,0.0,1510239130000
37.0,42.406622,-71.076453,3.34103,281.953125,5.0,3.0,3.76,0.0,1510239131000
38.0,42.406628,-71.076481,2.913235,285.46875,5.0,3.0,2.58,0.0,1510239132000
39.0,42.40664,-71.0765,2.991268,298.828125,5.0,3.0,2.04,0.0,1510239133000
40.0,42.406655,-71.076527,3.055752,303.75,5.0,3.0,2.8,0.0,1510239134000
41.0,42.406695,-71.076565,3.832088,332.578125,5.0,3.0,4.91,0.0,1510239135000
42.0,42.40675,-71.076594,3.708858,357.539062,5.0,3.0,6.23,0.0,1510239136000
43.0,42.406821,-71.076597,4.133663,0.0,5.0,3.0,7.72,0.0,1510239137000
